"glist_n","coexp","coexp_pos_adj","coexp_neg_adj","No_coexp.FPR.orig","No_coexp.FPR.sqr","No_coexp.FPR.abs","No_coexp.FPR.nsig","No_coexp.FPR.nsig.fdr","No_spin.FPR.orig","No_spin.FPR.sqr","No_spin.FPR.abs","No_spin.FPR.nsig","No_spin.FPR.nsig.fdr","Spin.FPR.orig","Spin.FPR.sqr","Spin.FPR.abs","Spin.FPR.nsig","Spin.FPR.nsig.fdr"
10,0.0320995927236529,0.300520866913019,-0.268421274189366,0.039,0.075,0.079,0.027,0.018,0.06,0.064,0.06,0.045,0.043,0.059,0.052,0.053,0.039,0.032
20,0.031338339834246,0.299659103248257,-0.268320763414011,0.11,0.065,0.091,0.027,0.01,0.063,0.059,0.057,0.048,0.037,0.055,0.052,0.054,0.045,0.029
17,-0.00737900930979958,0.23988493239514,-0.24726394170494,0.011,0.055,0.055,0.02,0.011,0.058,0.05,0.046,0.042,0.035,0.052,0.046,0.046,0.033,0.021
24,0.281660815136804,0.388932897993876,-0.107272082857072,0.563,0.079,0.077,0.028,0.008,0.062,0.058,0.06,0.046,0.035,0.053,0.055,0.052,0.044,0.025
5,0.191893052882214,0.289200104269159,-0.0973070513869446,0.12,0.061,0.048,0.021,0.011,0.065,0.071,0.073,0.058,0.051,0.057,0.063,0.064,0.035,0.032
12,0.14133867899329,0.299461390771941,-0.158122711778651,0.22,0.04,0.035,0.018,0.011,0.063,0.05,0.05,0.039,0.041,0.049,0.048,0.043,0.032,0.025
9,0.0397795557598944,0.241671387100982,-0.201891831341087,0.055,0.034,0.031,0.014,0.015,0.052,0.044,0.049,0.038,0.046,0.043,0.042,0.041,0.027,0.027
8,0.424632684107268,0.437833540086681,-0.0132008559794133,0.372,0.027,0.025,0.008,0.011,0.058,0.054,0.054,0.042,0.041,0.048,0.05,0.047,0.036,0.027
5,-0.0771401384511522,0.17094740123055,-0.248087539681702,0.003,0.027,0.022,0.011,0.012,0.049,0.05,0.053,0.043,0.04,0.042,0.046,0.053,0.028,0.027
5,-0.0771401384511522,0.17094740123055,-0.248087539681702,0.003,0.027,0.022,0.011,0.012,0.049,0.05,0.053,0.043,0.04,0.042,0.046,0.053,0.028,0.027
7,0.172472294365082,0.261788122411177,-0.0893158280460952,0.116,0.094,0.095,0.026,0.016,0.058,0.046,0.05,0.02,0.041,0.054,0.041,0.042,0.024,0.029
7,0.238936465197714,0.311764345582464,-0.0728278803847501,0.171,0.085,0.083,0.028,0.015,0.045,0.051,0.049,0.022,0.042,0.034,0.044,0.046,0.022,0.029
37,0.0442126077783987,0.250316576382006,-0.206103968603607,0.198,0.081,0.077,0.041,0.008,0.069,0.051,0.045,0.044,0.038,0.064,0.045,0.05,0.038,0.026
29,0.0347918361910319,0.256922344946942,-0.22213050875591,0.145,0.065,0.068,0.032,0.008,0.059,0.046,0.05,0.041,0.036,0.061,0.048,0.051,0.035,0.027
