"glist_n","coexp","coexp_pos_adj","coexp_neg_adj","No_coexp.FPR.orig","No_coexp.FPR.sqr","No_coexp.FPR.abs","No_coexp.FPR.nsig","No_coexp.FPR.nsig.fdr","No_spin.FPR.orig","No_spin.FPR.sqr","No_spin.FPR.abs","No_spin.FPR.nsig","No_spin.FPR.nsig.fdr","Spin.FPR.orig","Spin.FPR.sqr","Spin.FPR.abs","Spin.FPR.nsig","Spin.FPR.nsig.fdr"
7,0.511381419086948,0.570035731937886,-0.0586543128509386,0.364,0.139,0.161,0.07,0.052,0.136,0.181,0.182,0.173,0.168,0.05,0.069,0.068,0.042,0.054
77,0.110927760774614,0.300478282368185,-0.189550521593571,0.617,0.129,0.12,0.068,0.027,0.107,0.187,0.176,0.179,0.148,0.065,0.085,0.085,0.078,0.07
10,0.0919203307476123,0.228088540239133,-0.136168209491521,0.142,0.027,0.034,0.01,0.01,0.103,0.192,0.184,0.169,0.17,0.056,0.093,0.097,0.061,0.057
8,0.157338373243101,0.271363562372191,-0.11402518912909,0.193,0.022,0.017,0.007,0.014,0.129,0.187,0.187,0.129,0.165,0.058,0.086,0.077,0.059,0.063
8,-0.022837447860773,0.248423125472888,-0.271260573333661,0.034,0.023,0.031,0.011,0.015,0.098,0.191,0.178,0.157,0.152,0.058,0.081,0.083,0.046,0.061
8,-0.022837447860773,0.248423125472888,-0.271260573333661,0.031,0.022,0.033,0.011,0.013,0.098,0.191,0.178,0.157,0.152,0.058,0.081,0.083,0.046,0.061
6,0.168758337891702,0.307091068939278,-0.138332731047576,0.128,0.039,0.049,0.012,0.015,0.153,0.189,0.184,0.082,0.154,0.059,0.079,0.07,0.025,0.046
6,0.0808935865097544,0.29574387789502,-0.214850291385266,0.015,0.044,0.038,0.022,0.017,0.099,0.192,0.178,0.099,0.162,0.07,0.09,0.089,0.051,0.072
14,0.11785154631836,0.34305552330481,-0.22520397698645,0.065,0.075,0.093,0.053,0.029,0.075,0.156,0.148,0.141,0.123,0.065,0.069,0.074,0.058,0.061
10,0.0320995927236529,0.300520866913019,-0.268421274189366,0.002,0.031,0.033,0.021,0.017,0.036,0.158,0.15,0.133,0.123,0.04,0.071,0.078,0.056,0.06
20,0.031338339834246,0.299659103248257,-0.268320763414011,0.064,0.054,0.058,0.029,0.025,0.076,0.163,0.159,0.145,0.128,0.05,0.08,0.074,0.071,0.07
17,-0.00737900930979958,0.23988493239514,-0.24726394170494,0.012,0.124,0.118,0.067,0.033,0.094,0.196,0.182,0.188,0.175,0.073,0.077,0.082,0.064,0.065
24,0.281660815136804,0.388932897993876,-0.107272082857072,0.63,0.11,0.101,0.064,0.032,0.146,0.182,0.178,0.154,0.168,0.069,0.085,0.083,0.068,0.069
5,0.191893052882214,0.289200104269159,-0.0973070513869446,0.069,0.019,0.013,0.003,0.006,0.105,0.124,0.118,0.096,0.124,0.046,0.077,0.073,0.025,0.047
12,0.14133867899329,0.299461390771941,-0.158122711778651,0.343,0.087,0.083,0.034,0.042,0.189,0.232,0.208,0.17,0.215,0.078,0.077,0.079,0.055,0.064
9,0.0397795557598944,0.241671387100982,-0.201891831341087,0.108,0.091,0.077,0.043,0.044,0.184,0.237,0.228,0.198,0.22,0.076,0.075,0.08,0.046,0.054
8,0.424632684107268,0.437833540086681,-0.0132008559794133,0.413,0.041,0.032,0.019,0.029,0.148,0.196,0.183,0.148,0.175,0.059,0.08,0.083,0.049,0.064
5,-0.0771401384511522,0.17094740123055,-0.248087539681702,0.007,0.014,0.011,0.004,0.007,0.093,0.172,0.169,0.155,0.147,0.072,0.083,0.085,0.052,0.057
5,-0.0771401384511522,0.17094740123055,-0.248087539681702,0.007,0.014,0.01,0.005,0.007,0.093,0.172,0.169,0.155,0.147,0.072,0.083,0.085,0.052,0.057
7,0.172472294365082,0.261788122411177,-0.0893158280460952,0.056,0.051,0.042,0.021,0.032,0.076,0.137,0.109,0.055,0.152,0.065,0.07,0.064,0.043,0.047
7,0.238936465197714,0.311764345582464,-0.0728278803847501,0.132,0.046,0.04,0.025,0.011,0.117,0.197,0.185,0.117,0.157,0.049,0.082,0.082,0.053,0.055
37,0.0442126077783987,0.250316576382006,-0.206103968603607,0.202,0.072,0.06,0.042,0.03,0.083,0.197,0.178,0.191,0.17,0.059,0.081,0.083,0.078,0.084
29,0.0347918361910319,0.256922344946942,-0.22213050875591,0.149,0.079,0.072,0.05,0.035,0.098,0.215,0.194,0.187,0.173,0.077,0.087,0.087,0.077,0.091
