"geneSet","mean","median","meanabs","meansqr","maxmean","sig_n","sign_test","rank_sum","ks_orig","ks_weighted"
"GO:0140030",0.142857142857143,0.285714285714286,0,0,0.142857142857143,0,0,0,0,0.142857142857143
"GO:0140034",0.142857142857143,0,0,0,0,0,0,0,0.571428571428571,0.142857142857143
"GO:0140097",0,0,0,0,0,0,0,0,0,0.285714285714286
"GO:0140098",0.571428571428571,0.857142857142857,0,0,0.142857142857143,0,0.285714285714286,0,0.857142857142857,0.571428571428571
"GO:0140101",0,0,0,0,0,0,0,0,0,0
"GO:0140272",0,0,0,0,0,0,0,0,0,0
"GO:0140297",0.714285714285714,0.142857142857143,0,0,0,0,0,0,0.428571428571429,0.142857142857143
"GO:0140375",0.428571428571429,0.428571428571429,0,0.142857142857143,0,0,0.428571428571429,0,0.428571428571429,0.285714285714286
"GO:1901681",0,0,0,0,0,0,0,0,0,0
"GO:1901981",0,0,0,0,0,0,0,0,0,0
"GO:1902936",0,0,0,0,0,0,0,0,0,0
"GO:1904315",0.428571428571429,0,0,0,0,0,0,0,0.285714285714286,0.428571428571429
"GO:1990782",0,0,0,0,0,0,0,0,0,0
