Row,centroid1,centroid2,centroid3
7Networks_LH_DorsAttn_Post_3,-2.60784088904885,-96.6592043963346,21.2430683266033
7Networks_LH_DorsAttn_Post_4,-70.6009182054169,-21.0818366396184,65.9689799717494
7Networks_LH_DorsAttn_Post_5,-44.8178574698312,-49.7938093457903,72.8003570011684
7Networks_LH_DorsAttn_Post_6,-29.4032876524207,-73.3664388264695,59.8916434719138
7Networks_LH_DorsAttn_Post_7,25.8519791762034,-90.1538540522258,31.8448957900206
7Networks_LH_DorsAttn_Post_8,0.645973999924087,-84.2211683199003,52.4588310935281
7Networks_LH_DorsAttn_Post_9,51.3577318879747,-72.6450515039188,43.5760825835552
7Networks_LH_DorsAttn_Post_10,29.6127887047254,-66.4615384248587,67.0432690840501
7Networks_LH_DorsAttn_FEF_1,6.55920790962063,27.9146535797875,94.6507920369063
7Networks_LH_DorsAttn_FEF_2,36.023098650113,32.7116899087395,86.0828177223743
7Networks_LH_DorsAttn_PrCv_1,-48.2669140380106,58.1019753821102,64.1453085534366
7Networks_LH_SalVentAttn_ParOper_1,-97.6679564445249,-13.5180645117196,7.99924735356403
7Networks_LH_SalVentAttn_ParOper_2,-86.6596342877644,-2.18121951382335,48.0632920148896
7Networks_LH_SalVentAttn_ParOper_3,-87.5932045961038,-28.4775638824854,36.9724359267797
7Networks_LH_SalVentAttn_FrOperIns_1,-55.5414960065226,65.7575591380202,-46.9921260593444
7Networks_LH_SalVentAttn_FrOperIns_2,-47.2281579636691,83.8607889141953,-20.8820175915434
7Networks_LH_SalVentAttn_FrOperIns_3,-69.8543017187784,69.2777913115745,-5.65500004901442
7Networks_LH_SalVentAttn_FrOperIns_4,-61.0888371578483,68.4860465027565,36.5794186702994
7Networks_LH_SalVentAttn_PFCl_1,15.8349999981643,84.3412926772545,49.0606895808516
7Networks_LH_SalVentAttn_Med_1,90.7256639193645,21.8833628671359,32.466106330399
7Networks_LH_SalVentAttn_Med_2,82.1385916589012,-35.8530988894718,40.0600700378418
7Networks_LH_SalVentAttn_Med_3,68.924054120038,6.72297283765432,70.9135136475434
7Networks_LH_Limbic_OFC_1,6.61128573571997,82.6728567940848,-54.4304285866874
7Networks_LH_Limbic_OFC_2,36.2846200284902,79.0445029721623,-45.3208768855759
7Networks_LH_Limbic_TempPole_1,-8.8702654813507,24.5414159825418,-95.1684070013266
7Networks_LH_Limbic_TempPole_2,-23.9182786736332,-1.75327862872452,-95.7088525490683
7Networks_LH_Limbic_TempPole_3,-20.1981082413648,49.0509463129817,-83.869730768977
7Networks_LH_Limbic_TempPole_4,-45.7803338368734,56.924333190918,-66.961666615804
7Networks_LH_Cont_Par_1,-72.8070831298828,-59.0549998813205,32.5018056763543
