"seed","glist_n","FPR.orig","FPR.sqr","FPR.abs","FPR.nsig","FPR.nsig.fdr","coexp","coexp_pos_adj","coexp_neg_adj"
706710,140,0.064,0.089,0.09,0.088,0.075,0.0336264512188285,0.257844211983141,-0.224217760764313
706710,145,0.064,0.088,0.087,0.089,0.071,0.0362113212061446,0.25915754682082,-0.222946225614676
706710,150,0.064,0.088,0.087,0.086,0.075,0.0407030233688409,0.262570153917562,-0.221867130548721
627160,5,0.051,0.091,0.09,0.051,0.053,-0.174159096293863,0.126944803988253,-0.301103900282116
627160,10,0.057,0.094,0.099,0.059,0.076,-0.0252076246850836,0.208342575854409,-0.233550200539492
627160,15,0.069,0.092,0.091,0.067,0.082,0.0306758377887979,0.235750937037664,-0.205075099248866
627160,20,0.06,0.101,0.097,0.078,0.083,0.0149725062633686,0.228086177523571,-0.213113671260202
627160,25,0.067,0.094,0.097,0.078,0.085,0.0220042336955269,0.219424948626362,-0.197420714930835
627160,30,0.062,0.098,0.094,0.079,0.089,0.0214516928655801,0.218732265789375,-0.197280572923795
627160,35,0.058,0.1,0.09,0.08,0.089,0.0216008621731044,0.223550049357044,-0.201949187183939
627160,40,0.059,0.101,0.095,0.084,0.09,0.0291832907850282,0.235867475490834,-0.206684184705806
627160,45,0.058,0.102,0.091,0.088,0.098,0.0347920128093,0.241481234942451,-0.206689222133151
627160,50,0.054,0.097,0.096,0.086,0.094,0.0342879253105133,0.239498822095106,-0.205210896784592
627160,55,0.056,0.095,0.094,0.085,0.097,0.0346853123560859,0.24190333282593,-0.207218020469844
627160,60,0.054,0.094,0.093,0.084,0.091,0.0316342215372745,0.240983265862252,-0.209349044324978
627160,65,0.052,0.096,0.091,0.085,0.088,0.0277804649989144,0.237078115010032,-0.209297650011118
627160,70,0.044,0.091,0.091,0.081,0.088,0.0277044035243791,0.242479959344523,-0.214775555820144
627160,75,0.052,0.091,0.09,0.083,0.085,0.0276471749822871,0.243020667825331,-0.215373492843043
627160,80,0.054,0.089,0.09,0.083,0.084,0.0287539335840479,0.248029699934882,-0.219275766350835
627160,85,0.045,0.089,0.089,0.081,0.082,0.0261528910218964,0.246745268489432,-0.220592377467535
627160,90,0.045,0.091,0.089,0.082,0.084,0.0264604893784821,0.247541008791647,-0.221080519413165
627160,95,0.042,0.091,0.09,0.085,0.089,0.0258268327299689,0.251804085626488,-0.225977252896519
627160,100,0.043,0.092,0.089,0.086,0.091,0.0242867385473617,0.253994938846961,-0.229708200299599
627160,105,0.04,0.09,0.091,0.085,0.085,0.027375591614842,0.248347333437927,-0.220971741823085
627160,110,0.038,0.091,0.09,0.086,0.088,0.0291705236918597,0.250309784836527,-0.221139261144667
627160,115,0.037,0.092,0.09,0.085,0.09,0.0268585317000943,0.250875614592682,-0.224017082892588
627160,120,0.035,0.093,0.089,0.086,0.089,0.0281298699950717,0.248832899756946,-0.220703029761874
627160,125,0.037,0.093,0.088,0.083,0.089,0.0293702931920733,0.249780623402859,-0.220410330210786
627160,130,0.04,0.093,0.089,0.084,0.091,0.0275700400906247,0.246108285203502,-0.218538245112877
627160,135,0.042,0.092,0.089,0.087,0.091,0.0250175112923481,0.245408491497168,-0.22039098020482
627160,140,0.041,0.093,0.089,0.086,0.089,0.0255535407203801,0.246180855612893,-0.220627314892513
