"geneSet","true.mean","true.median","true.meanabs","true.meansqr","true.maxmean","true.sig_n","true.sign_test","true.rank_sum","true.ks_orig","true.ks_weighted","null_upper25.mean","null_upper25.median","null_upper25.meanabs","null_upper25.meansqr","null_upper25.maxmean","null_upper25.sig_n","null_upper25.sign_test","null_upper25.rank_sum","null_upper25.ks_orig","null_upper25.ks_weighted","null_lower25.mean","null_lower25.median","null_lower25.meanabs","null_lower25.meansqr","null_lower25.maxmean","null_lower25.sig_n","null_lower25.sign_test","null_lower25.rank_sum","null_lower25.ks_orig","null_lower25.ks_weighted","null_upper5.mean","null_upper5.median","null_upper5.meanabs","null_upper5.meansqr","null_upper5.maxmean","null_upper5.sig_n","null_upper5.sign_test","null_upper5.rank_sum","null_upper5.ks_orig","null_upper5.ks_weighted","null_lower5.mean","null_lower5.median","null_lower5.meanabs","null_lower5.meansqr","null_lower5.maxmean","null_lower5.sig_n","null_lower5.sign_test","null_lower5.rank_sum","null_lower5.ks_orig","null_lower5.ks_weighted","pvals.mean","pvals.median","pvals.meanabs","pvals.meansqr","pvals.maxmean","pvals.sig_n","pvals.sign_test","pvals.rank_sum","pvals.ks_orig","pvals.ks_weighted","null_brain"
"CA1.Pyramidal",-0.266836796391875,-0.444058283491639,0.504346939889491,0.30706491694543,-0.536702194844464,74,-4.33544882392289,29837,-0.248661419862594,-0.331861942377995,0.0606138450820651,0.251724319183915,0.532399812097195,0.332318230244492,-0.459429098852219,82,0,67008.45,0.135987646356804,0.192768886897102,-0.144326750527605,-0.323953042453357,0.449937085331832,0.251678556122025,-0.594567146416951,62,-2.16772441196145,43460.5,-0.136486791600813,-0.249040292265546,0.044457338885714,0.22269895631603,0.52584994908454,0.324769199006008,-0.479529273108922,80,0,65674.25,0.12144873076799,0.176976572999325,-0.126882717460885,-0.277640617152691,0.456617810133392,0.257277889102292,-0.585189614188227,64,-1.77359270069573,45477,-0.122468591749186,-0.234169306804651,0.000127632418634333,0.000822537528274727,0.26967303269673,0.212878712128787,0.481008780886257,0.385861413858614,0.000118581762124985,1,0.000197941409342835,0.000280347631062518,2
"Endothelial",0.0220554640824058,0.108223819084306,0.488211699971866,0.290379022985162,-0.510978950878831,38,-0.529812942826018,33275,0.0971131986445331,0.150511366946209,0.0965220765783525,0.299867899562098,0.546965370258291,0.346599823746116,0.510160799690913,47,0,37732.425,0.180783253978467,0.23734730202142,-0.177805729182938,-0.394166824491103,0.432454496515724,0.235207098712282,-0.614083298833005,32,-2.11925177130407,21199.95,-0.180920516450049,-0.29504217256331,0.0762661487168112,0.269893073459833,0.537791059614341,0.336745283429772,0.481524281465186,46,0,36751.05,0.161584738128941,0.216160018770344,-0.156392383482628,-0.346055663505086,0.441590864935344,0.243492023903981,-0.601528639621895,33,-1.85434529989106,22950.7,-0.160148843992622,-0.271565361864011,0.660377358490566,0.6209324452902,0.527647235276472,0.488751124887511,0.745835572272971,0.724727527247275,0.751670238245304,0.263673632636736,0.632192999802254,0.705383265067291,2
"Ependymal",-0.119553167441652,-0.24111203893336,0.521077837294372,0.316903557344162,-0.584923960845935,63,-0.763762615825973,42247,-0.131084819589146,-0.250558054405513,0.0715573133756937,0.264321142638653,0.537092412301222,0.336856914998404,0.478904719488054,67,0.109108945117996,55099.45,0.148950055918536,0.206478856229569,-0.152672076542671,-0.336007567045078,0.443650630293921,0.245494739135179,-0.601487409999057,49,-2.07306995724193,34076.525,-0.147527444228619,-0.262229658842126,0.0529517137387638,0.22982928704718,0.529783760172801,0.328686251582258,-0.46850686707318,66,0.109108945117996,53837,0.132895550061805,0.190412381763,-0.134598952982606,-0.297054654485304,0.450993537405714,0.252365212979503,-0.590414923683179,51,-1.85485206700594,35976.7,-0.133307581376185,-0.245149530672035,0.107894736842105,0.212689713322091,0.0995900409959004,0.124687531246875,0.0728627613330573,0.211578842115788,0.481465136804943,0.734126587341266,0.109787571967441,0.057171371542629,2
"Interneuron",-0.0309011004847852,0.0898318921739839,0.471966352383336,0.265865877544562,-0.513130053947062,63,-0.1,53294,0.0800580671920366,-0.114728008901082,0.0642132425162677,0.245111704577345,0.534503845582827,0.33302224720055,-0.454811565022518,79,0.1,65297,0.136522501036914,0.195467830266184,-0.142631230054922,-0.316599860686126,0.447894769249965,0.249349218646507,-0.596550193613827,59,-2.1,41945.775,-0.13827478224803,-0.254179609487971,0.0469785134469911,0.215535071611394,0.527134680947314,0.326179839582858,-0.477923297177893,78,0.1,63775.2,0.122610742430527,0.180293647390222,-0.126733538940004,-0.276669450182853,0.454695254585014,0.255100836993795,-0.58625168360406,61,-1.9,44105.7,-0.123289713811696,-0.236029730459654,0.7374855230987,0.582831325301205,0.7999200079992,0.87011298870113,0.761963190184049,0.926507349265073,1,0.597040295970403,0.532058940661091,0.947154471544715,2
"Microglia",-0.332357718244241,-0.484531861462831,0.582481606006555,0.398297610363084,-0.645768934765267,38,-2.74241377865072,14045,-0.291209906617946,-0.462263012935049,0.104602873479328,0.305678528605066,0.55236075441592,0.351624587316379,0.517730914906824,40,0.144337567297406,32160.025,0.19060469955339,0.250210740692925,-0.192285090407006,-0.41361735837009,0.427892714935594,0.230716169619781,-0.623116986958207,26,-2.1650635094611,17038.65,-0.196284383881445,-0.311459953320316,0.0826890529380779,0.27884656493781,0.542009986621144,0.34089783974156,0.491517728869938,39,0.144337567297406,31303,0.172097036134795,0.226752645690175,-0.168314701965094,-0.365830967083945,0.438643934875972,0.240393676298365,-0.609069525394991,28,-1.87638837486628,18473.85,-0.17575365408039,-0.286957630496128,0.000143020594965675,0.00579350300020691,0.0014998500149985,0.0005999400059994,0.00709529527344176,0.125687431256874,0.00645234321937967,0.996400359964004,0.000399361022364217,0.000153444836581249,2
"Mural",-0.0913240718351823,-0.181523694198555,0.492608947815788,0.286100525429741,0.501606094975757,19,10,13331,-0.132759452936444,-0.204347370914966,0.165261777636384,0.384305607060205,0.575110948764667,0.376823607384675,0.559497091887467,22,12,17262.075,0.262284794851167,0.327120179668159,-0.250155111329394,-0.480809172490509,0.402925847518463,0.209132127508114,-0.656161217895993,12,7,6896.95,-0.268400241351569,-0.37951330366207,0.132059063441028,0.342309457563722,0.562283056201019,0.361675139585878,0.533405066561086,21,12,16549.05,0.23619066773934,0.293891690444297,-0.216775186091798,-0.444058283491639,0.418119377668722,0.221003346483884,-0.636496504592471,13,8,7787,-0.239581657280772,-0.350404090945772,0.493562897471692,0.624281018898932,0.481051894810519,0.523047695230477,0.553603876438522,0.354864513548645,0.76962303769623,0.394360563943606,0.723658051689861,0.688816326530612,2
"Oligodendrocyte",0.0571758013659001,0.167270528243484,0.461048266193049,0.269471208147449,-0.466006690185172,36,-0.903696114115064,31731,0.13219094247246,0.191045569564713,0.0938635462439932,0.292300572366007,0.546955486279831,0.346225960868465,0.505666158097726,49,0.129099444873581,39894.075,0.172790187678498,0.233555349346429,-0.173778072698584,-0.37955762913187,0.434371778819304,0.237101931203647,-0.614457078507125,34,-1.93649167310371,22717.825,-0.173848939208486,-0.287760944428008,0.0723117962531447,0.259553335591919,0.537681015011635,0.336580787991848,0.46751138497199,48,0.129099444873581,38851.05,0.155609955120359,0.21221673145648,-0.153026321088041,-0.336065313391975,0.442699357604019,0.244998928499801,-0.601599657673797,35,-1.93649167310371,24123,-0.157284781721746,-0.267927813780424,0.281104338472571,0.344620743034056,0.847015298470153,0.767323267673233,0.968530725069105,0.936306369363064,0.398774373259053,0.546745325467453,0.231574708014499,0.272452373752646,2
"S1.Pyramidal",0.119051095910305,0.30805791267444,0.502344605739553,0.292292495483558,0.504020958004884,56,-1.87265835513809,35724,0.166726600514682,0.237982937989886,0.081092530721395,0.276599796983887,0.539968970260209,0.339501107439216,0.492607819807751,59,0,47952.2,0.157275781855777,0.21780510984368,-0.160363569418991,-0.354536392144294,0.439296048044868,0.242316867200661,-0.604115029701493,42,-2.10674064953035,29130.7,-0.158272135255712,-0.270953688496894,0.0614894036355388,0.242424912289224,0.531929050634201,0.331266378569029,-0.448744494365975,58,0,46863.15,0.14228033308236,0.198501896144897,-0.141458029327195,-0.3177668586453,0.448529110395251,0.249789085668129,-0.592176857383111,44,-1.87265835513809,30735.95,-0.142388214008788,-0.251528716647951,0.0179617336977743,0.0173076923076923,0.322367763223678,0.460753924607539,0.414253897550111,0.143185681431857,0.0666174116488117,0.774022597740226,0.0338745239526959,0.0330473466793772,2
"Astrocyte",-0.075667356105017,-0.122886796764277,0.20233232003289,0.0548857914957892,-0.20849975710343,0,-2.31340697929522,19405,-0.176027676027676,-0.262921519263287,0.0547283918249296,0.0976910259214762,0.268932735035628,0.0991508807189295,0.274610663008428,7,0.136082763487954,36528.2,0.182946682946683,0.303708138193276,-0.0857759761628685,-0.136827724560349,0.191652921800817,0.053346878147815,-0.296501113319646,0,-2.04124145231932,20720.7,-0.18050468050468,-0.332487965051208,0.0436896710506177,0.0786094685057385,0.263214651411636,0.0955023565079366,0.265140992129402,6,0.136082763487954,35498.1,0.163207163207163,0.27778776851142,-0.0755267844800468,-0.121925840228352,0.197440644727893,0.0564668429423552,-0.286314243447136,0,-1.76907592534341,22131.95,-0.164021164021164,-0.309910594142262,0.0736526946107784,0.0820460006865774,0.919408059194081,0.965103489651035,0.95938864628821,1,0.0215536596317916,0.987501249875013,0.0617357001972387,0.273727647867951,3
"CA1.Pyramidal",-0.112111953928821,-0.185858372380283,0.252845280379062,0.0862095008584554,0.258848796863837,2,-4.53251467955575,38592,-0.224833080669613,-0.357251678591543,0.0368911368956112,0.0670245931015514,0.257962118045982,0.0920578342648816,0.259083714885062,9,0,68156.2,0.134726578879463,0.252529136012077,-0.0673548098834534,-0.111336072256818,0.202239473320036,0.0589911831285214,-0.279568267917957,0,-2.16772441196145,45454.6,-0.13582304535045,-0.283773763239296,0.0278898671180093,0.0553652582597082,0.253360580645304,0.0890922280600846,0.251385781914414,8,0,66731.3,0.121965616230687,0.233748634933574,-0.0590645867213054,-0.0970324221320094,0.206271560667073,0.0613786889914524,-0.273185247049406,0,-1.77359270069573,47620.9,-0.122771183433861,-0.264975133046207,0.000553403431101273,0.000165098233448902,0.0526947305269473,0.0944905509449055,0.104141535987133,0.50954904509549,0.000118133490844654,0.998400159984002,0.000198807157057654,0.001634521085322,3
