"geneSet","pvals.mean","pvals.median","pvals.meanabs","pvals.meansqr","pvals.maxmean","pvals.sig_n","pvals.ks_orig","pvals.ks_weighted","sim_brain"
"GO:2000300",0.846630673865227,0.548290341931614,0.575684863027395,0.747050589882024,0.398120375924815,0.763047390521896,0.8312625250501,0.928950592078399,1
"SYNGO:metabolism",0.0811837632473505,0.00599880023995201,0.00919816036792642,0.00979804039192162,0.0615876824635073,0.000999800039992002,0.0330809087285771,0.0768608414239482,1
"SYNGO:postsynprocess",0.11497700459908,0.0323935212957408,0.419716056788642,0.716856628674265,0.539292141571686,0.676864627074585,0.132945575405069,0.370386643233743,1
"SYNGO:presynprocess",0.34873025394921,0.970405918816237,0.648670265946811,0.883423315336933,0.25874825034993,0.853429314137173,0.621056943875461,0.527552328064929,1
"SYNGO:transport",0.0191961607678464,0.0743851229754049,0.801639672065587,0.905618876224755,0.886022795440912,0.988402319536093,0.0103420843277645,0.0399217221135029,1
"GO:0007268",0.718656268746251,0.492701459708058,0.594081183763247,0.685462907418516,0.636872625474905,0.512697460507898,0.858248472505092,0.962680237489398,2
"GO:0007416",0.712257548490302,0.610277944411118,0.804839032193561,0.838232353529294,0.845430913817237,0.72625474905019,0.884491114701131,0.914826498422713,2
"GO:0008021",0.499500099980004,0.329134173165367,0.79244151169766,0.798040391921616,0.801839632073585,0.758648270345931,0.465558194774347,0.875,2
"GO:0014069",0.891821635672865,0.482703459308138,0.215956808638272,0.221955608878224,0.454509098180364,0.517696460707858,0.698712791633146,0.423645320197044,2
"GO:0016079",0.296540691861628,0.241951609678064,0.383923215356929,0.513497300539892,0.54749050189962,0.31753649270146,0.556232237109216,0.472408026755853,2
"GO:0030285",0.572285542891422,0.550289942011598,0.750849830033993,0.560287942411518,0.782043591281744,0.934213157368526,0.429362880886427,0.940376150460184,2
"GO:0030672",0.209558088382324,0.243951209758048,0.893821235752849,0.880823835232953,0.965406918616277,0.856028794241152,0.148681055155875,0.463243873978997,2
"GO:0042734",0.168166366726655,0.539092181563687,0.421915616876625,0.539892021595681,0.155368926214757,0.172765446910618,0.222932481022773,0.109720483938256,2
"GO:0045211",0.634273145370926,0.840631873625275,0.660067986402719,0.786442711457708,0.704259148170366,0.336532693461308,0.639918533604888,0.672076570952975,2
"GO:0048488",0.975804839032194,0.909418116376725,0.421715656868626,0.446710657868426,0.669266146770646,0.638272345530894,0.967463739709918,0.695423248278655,2
"GO:0048786",0.684063187362527,0.320935812837432,0.457108578284343,0.579484103179364,0.583283343331334,0.261147770445911,0.693057722308892,0.89193752638244,2
