label,UKB_DIFF,ENIGMA_DIFF,SCZ,OCD,BD,MDD,CHR,PD,EPI,LIFE_AGE,young_age_r,middle_age_r,old_age_r,
R_parahippocampal_thickavg,-0.199274806,-0.137586376,-0.285,-0.08,-0.086,-0.061,-0.07,-0.129,-0.094,0.13,-0.183,-0.11,-0.127,
R_paracentral_thickavg,-0.41659987,-0.415286811,-0.216,0.009,-0.14,-0.006,-0.11,-0.066,-0.315,0.37,-0.411,-0.229,-0.227,
R_parsopercularis_thickavg,-0.406407151,-0.115025853,-0.424,-0.062,-0.248,-0.017,-0.07,-0.032,-0.177,0.44,-0.411,-0.315,-0.113,
R_parsorbitalis_thickavg,-0.177255582,-0.11059793,-0.339,-0.069,-0.241,-0.07,0,-0.103,-0.141,0.29,-0.342,-0.193,-0.054,
R_parstriangularis_thickavg,-0.342405091,-0.155199169,-0.373,-0.056,-0.231,-0.031,-0.05,-0.033,-0.199,0.44,-0.442,-0.304,-0.078,
R_pericalcarine_thickavg,-0.035295661,-0.122998802,-0.086,0.025,0.015,0.081,0.05,-0.086,-0.13,0.17,-0.269,-0.155,-0.125,
R_postcentral_thickavg,-0.287479804,-0.17206303,-0.281,0.036,-0.075,0.028,-0.12,-0.141,-0.116,0.36,-0.39,-0.221,-0.245,
R_posteriorcingulate_thickavg,-0.311685307,-0.377406453,-0.31,-0.057,-0.166,-0.093,-0.13,-0.202,-0.07,0.4,-0.462,-0.224,-0.058,
R_precentral_thickavg,-0.293382726,-0.357555724,-0.317,-0.037,-0.179,-0.022,-0.13,-0.061,-0.399,0.4,-0.292,-0.278,-0.304,
R_precuneus_thickavg,-0.40197992,-0.393663874,-0.304,-0.101,-0.188,0.005,-0.15,-0.248,-0.275,0.5,-0.532,-0.258,-0.307,
R_rostralanteriorcingulate_thickavg,0.004733759,-0.07981795,-0.12,0.005,-0.087,-0.098,-0.08,-0.016,0.093,0.18,-0.294,-0.142,0.104,
R_rostralmiddlefrontal_thickavg,-0.298457298,-0.200188484,-0.313,-0.091,-0.264,-0.038,-0.12,-0.068,-0.197,0.4,-0.482,-0.213,-0.023,
R_superiorfrontal_thickavg,-0.497672167,-0.441336749,-0.397,-0.038,-0.256,-0.078,-0.09,-0.147,-0.269,0.5,-0.487,-0.294,-0.189,
R_superiorparietal_thickavg,-0.26720613,-0.353845582,-0.219,-0.047,-0.158,0.032,-0.12,-0.241,-0.313,0.39,-0.475,-0.167,-0.239,
R_superiortemporal_thickavg,-0.332004613,-0.257645602,-0.438,0.014,-0.194,-0.031,-0.15,-0.113,-0.123,0.41,-0.341,-0.29,-0.357,
R_supramarginal_thickavg,-0.177874943,-0.265564323,-0.386,0.003,-0.184,-0.053,-0.1,-0.193,-0.223,0.48,-0.483,-0.281,-0.277,
R_frontalpole_thickavg,-0.175272452,-0.069097052,-0.207,0.021,-0.102,-0.062,-0.08,-0.107,-0.109,0.17,-0.263,-0.111,-0.025,
R_temporalpole_thickavg,-0.04143621,-0.187601435,-0.236,0.015,-0.059,0.013,-0.08,-0.119,-0.181,0.03,0.077,-0.02,-0.208,
R_transversetemporal_thickavg,0.053198487,-0.111352847,-0.262,-0.024,-0.109,-0.051,-0.11,-0.1,-0.182,0.28,-0.285,-0.196,-0.157,
R_insula_thickavg,-0.134484413,-0.268106205,-0.406,-0.065,-0.168,-0.115,-0.16,-0.095,-0.022,0.38,-0.371,-0.26,-0.199,
