"geneSet","pvals.PLSR","sim_brain"
"GO:0099504",0.839232153569286,2
"GO:0099505",0.442911417716457,2
"GO:0099509",0.833233353329334,2
"GO:0099523",0.81623675264947,2
"GO:0099531",0.533093381323735,2
"GO:0099536",0.0637872425514897,2
"GO:0099537",0.0373925214957009,2
"GO:0099560",0.405518896220756,2
"GO:0099563",0.289342131573685,2
"GO:0099572",0.457708458308338,2
"GO:0099634",0.608078384323135,2
"GO:0099645",0.976604679064187,2
"GO:1904315",0.180563887222555,2
"GO:1905606",0.398520295940812,2
"GO:2000300",0.650869826034793,2
"SYNGO:metabolism",0.992601479704059,2
"SYNGO:postsynprocess",0.3375324935013,2
"SYNGO:presynprocess",0.932813437312538,2
"SYNGO:transport",0.748850229954009,2
"GO:0007268",0.764247150569886,3
"GO:0007416",0.968206358728254,3
"GO:0008021",0.0433913217356529,3
"GO:0014069",0.114777044591082,3
"GO:0016079",0.599080183963207,3
"GO:0030285",0.630273945210958,3
"GO:0030672",0.13997200559888,3
"GO:0042734",0.96000799840032,3
"GO:0045211",0.826434713057388,3
"GO:0048488",0.460307938412318,3
"GO:0048786",0.0335932813437313,3
"GO:0048787",0.0683863227354529,3
"GO:0050804",0.989202159568086,3
"GO:0050808",0.747650469906019,3
"GO:0051963",0.237752449510098,3
"GO:0060078",0.749850029994001,3
"GO:0098839",0.740251949610078,3
"GO:0098918",0.608678264347131,3
"GO:0099010",0.84503099380124,3
"GO:0099055",0.91501699660068,3
"GO:0099056",0.523295340931814,3
"GO:0099059",0.0497900419916017,3
"GO:0099060",0.696860627874425,3
"GO:0099061",0.823035392921416,3
"GO:0099072",0.927614477104579,3
"GO:0099092",0.67746450709858,3
"GO:0099171",0.931613677264547,3
"GO:0099173",0.643271345730854,3
"GO:0099175",0.953009398120376,3
"GO:0099188",0.988002399520096,3
"GO:0099504",0.0621875624875025,3
"GO:0099505",0.222755448910218,3
"GO:0099509",0.96000799840032,3
"GO:0099523",0.41751649670066,3
"GO:0099531",0.856428714257149,3
"GO:0099536",0.496900619876025,3
"GO:0099537",0.798240351929614,3
"GO:0099560",0.734653069386123,3
"GO:0099563",0.791441711657668,3
"GO:0099572",0.858228354329134,3
"GO:0099634",0.524895020995801,3
"GO:0099645",0.145770845830834,3
"GO:1904315",0.891821635672865,3
"GO:1905606",0.937012597480504,3
"GO:2000300",0.826434713057388,3
"SYNGO:metabolism",0.152969406118776,3
"SYNGO:postsynprocess",0.993001399720056,3
"SYNGO:presynprocess",0.120375924815037,3
"SYNGO:transport",0.868226354729054,3
"GO:0007268",0.84003199360128,4
"GO:0007416",0.940211957608478,4
"GO:0008021",0.806438712257548,4
"GO:0014069",0.529894021195761,4
"GO:0016079",0.946610677864427,4
"GO:0030285",0.423915216956609,4
"GO:0030672",0.305338932213557,4
"GO:0042734",0.914617076584683,4
"GO:0045211",0.920615876824635,4
"GO:0048488",0.648670265946811,4
"GO:0048786",0.829034193161368,4
"GO:0048787",0.980603879224155,4
"GO:0050804",0.928814237152569,4
"GO:0050808",0.966406718656269,4
"GO:0051963",0.920815836832633,4
"GO:0060078",0.84623075384923,4
"GO:0098839",0.191561687662468,4
"GO:0098918",0.841431713657269,4
"GO:0099010",0.985602879424115,4
"GO:0099055",0.266746650669866,4
"GO:0099056",0.891621675664867,4
"GO:0099059",0.98880223955209,4
"GO:0099060",0.757048590281944,4
"GO:0099061",0.730453909218156,4
"GO:0099072",0.883823235352929,4
"GO:0099092",0.554289142171566,4
"GO:0099171",0.629474105178964,4
"GO:0099173",0.883823235352929,4
"GO:0099175",0.545690861827634,4
"GO:0099188",0.91501699660068,4
"GO:0099504",0.931613677264547,4
"GO:0099505",0.974405118976205,4
"GO:0099509",0.932213557288542,4
"GO:0099523",0.319136172765447,4
"GO:0099531",0.733853229354129,4
"GO:0099536",0.846830633873225,4
"GO:0099537",0.732853429314137,4
"GO:0099560",0.793041391721656,4
"GO:0099563",0.991601679664067,4
"GO:0099572",0.748850229954009,4
"GO:0099634",0.838832233553289,4
"GO:0099645",0.600279944011198,4
"GO:1904315",0.913017396520696,4
"GO:1905606",0.92621475704859,4
"GO:2000300",0.970205958808238,4
"SYNGO:metabolism",0.637072585482903,4
"SYNGO:postsynprocess",0.960407918416317,4
"SYNGO:presynprocess",0.758448310337932,4
"SYNGO:transport",0.831633673265347,4
"GO:0007268",0.836632673465307,5
"GO:0007416",0.444511097780444,5
"GO:0008021",0.885422915416917,5
"GO:0014069",0.614077184563087,5
"GO:0016079",0.978404319136173,5
"GO:0030285",0.990601879624075,5
"GO:0030672",0.730253949210158,5
"GO:0042734",0.479704059188162,5
"GO:0045211",0.677864427114577,5
"GO:0048488",0.625074985002999,5
"GO:0048786",0.990601879624075,5
"GO:0048787",0.887022595480904,5
"GO:0050804",0.805638872225555,5
"GO:0050808",0.718256348730254,5
"GO:0051963",0.717056588682264,5
"GO:0060078",0.869026194761048,5
"GO:0098839",0.923815236952609,5
"GO:0098918",0.934813037392522,5
"GO:0099010",0.748450309938012,5
"GO:0099055",0.363527294541092,5
"GO:0099056",0.868226354729054,5
"GO:0099059",0.991601679664067,5
"GO:0099060",0.967206558688262,5
"GO:0099061",0.959008198360328,5
"GO:0099072",0.719456108778244,5
"GO:0099092",0.799440111977604,5
"GO:0099171",0.988402319536093,5
"GO:0099173",0.960207958408318,5
"GO:0099175",0.954409118176365,5
"GO:0099188",0.369726054789042,5
"GO:0099504",0.937012597480504,5
"GO:0099505",0.501499700059988,5
"GO:0099509",0.986602679464107,5
"GO:0099523",0.96880623875225,5
"GO:0099531",0.986802639472106,5
"GO:0099536",0.537692461507698,5
"GO:0099537",0.773645270945811,5
"GO:0099560",0.740251949610078,5
"GO:0099563",0.42371525694861,5
"GO:0099572",0.890821835632873,5
"GO:0099634",0.992201559688062,5
"GO:0099645",0.914217156568686,5
"GO:1904315",0.744051189762048,5
"GO:1905606",0.725854829034193,5
"GO:2000300",0.903019396120776,5
"SYNGO:metabolism",0.59128174365127,5
"SYNGO:postsynprocess",0.897420515896821,5
"SYNGO:presynprocess",0.829034193161368,5
"SYNGO:transport",0.891821635672865,5
"GO:0007268",0.44871025794841,6
"GO:0007416",0.470105978804239,6
"GO:0008021",0.863627274545091,6
"GO:0014069",0.518896220755849,6
"GO:0016079",0.331733653269346,6
"GO:0030285",0.999800039992002,6
"GO:0030672",0.992601479704059,6
"GO:0042734",0.957008598280344,6
"GO:0045211",0.0867826434713057,6
"GO:0048488",0.427114577084583,6
"GO:0048786",0.778444311137772,6
"GO:0048787",0.94621075784843,6
"GO:0050804",0.610477904419116,6
"GO:0050808",0.249750049990002,6
"GO:0051963",0.96880623875225,6
"GO:0060078",0.0781843631273745,6
"GO:0098839",0.460107978404319,6
"GO:0098918",0.98000399920016,6
"GO:0099010",0.532693461307738,6
"GO:0099055",0.244151169766047,6
"GO:0099056",0.831033793241352,6
"GO:0099059",0.979804039192162,6
"GO:0099060",0.912617476504699,6
"GO:0099061",0.46750649870026,6
"GO:0099072",0.738452309538092,6
"GO:0099092",0.85622875424915,6
"GO:0099171",0.908218356328734,6
"GO:0099173",0.986802639472106,6
"GO:0099175",0.934413117376525,6
"GO:0099188",0.595080983803239,6
"GO:0099504",0.428114377124575,6
"GO:0099505",0.73005398920216,6
"GO:0099509",0.256348730253949,6
"GO:0099523",0.255348930213957,6
"GO:0099531",0.936612677464507,6
"GO:0099536",0.884823035392921,6
"GO:0099537",0.972405518896221,6
"GO:0099560",0.624475104979004,6
"GO:0099563",0.363927214557089,6
"GO:0099572",0.502299540091982,6
"GO:0099634",0.934013197360528,6
"GO:0099645",0.969406118776245,6
"GO:1904315",0.668266346730654,6
"GO:1905606",0.870625874825035,6
"GO:2000300",0.624675064987003,6
"SYNGO:metabolism",0.590281943611278,6
"SYNGO:postsynprocess",0.878824235152969,6
"SYNGO:presynprocess",0.16376724655069,6
"SYNGO:transport",0.776044791041792,6
"GO:0007268",0.0925814837032593,7
"GO:0007416",0.985802839432114,7
"GO:0008021",0.917016596680664,7
"GO:0014069",0.975404919016197,7
"GO:0016079",0.986402719456109,7
"GO:0030285",0.690061987602479,7
"GO:0030672",0.936812637472506,7
"GO:0042734",0.768446310737852,7
"GO:0045211",0.755248950209958,7
"GO:0048488",0.511897620475905,7
"GO:0048786",0.721455708858228,7
"GO:0048787",0.394521095780844,7
"GO:0050804",0.486502699460108,7
"GO:0050808",0.943411317736453,7
"GO:0051963",0.943211357728454,7
"GO:0060078",0.384723055388922,7
"GO:0098839",0.859428114377125,7
"GO:0098918",0.947210557888422,7
"GO:0099010",0.579084183163367,7
"GO:0099055",0.942411517696461,7
"GO:0099056",0.482903419316137,7
"GO:0099059",0.365926814637073,7
"GO:0099060",0.911017796440712,7
"GO:0099061",0.916016796640672,7
"GO:0099072",0.855428914217157,7
"GO:0099092",0.562687462507498,7
