"geneSet","pvals.mean","pvals.median","pvals.meanabs","pvals.meansqr","pvals.maxmean","pvals.ks_orig","pvals.ks_weighted","sim_brain"
"GO:0099504",0.113177364527095,0.141371725654869,0.704059188162368,0.858028394321136,0.157768446310738,0.235862562634216,0.146888567293777,1
"GO:0099505",0.151969606078784,0.140571885622875,0.203559288142372,0.225754849030194,0.30253949210158,0.116137451065681,0.0896995708154506,1
"GO:0099509",0.267146570685863,0.108578284343131,0.264747050589882,0.461507698460308,0.514497100579884,0.1508864579404,0.456671779141104,1
"GO:0099523",0.145570885822835,0.102379524095181,0.682663467306539,0.786842631473705,0.553289342131574,0.078531796841656,0.0942364324779133,1
"GO:0099531",0.493901219756049,0.332333533293341,0.311937612477505,0.355728854229154,0.251349730053989,0.862017247844019,0.685966257668712,1
"GO:0099536",0.41871625674865,0.757848430313937,0.765846830633873,0.822835432913417,0.788042391521696,0.284345047923323,0.5449378330373,1
"GO:0099537",0.496900619876025,0.838032393521296,0.686862627474505,0.725454909018196,0.632673465306939,0.389492119089317,0.467491166077738,1
"GO:0099560",0.376124775044991,0.518896220755849,0.723055388922216,0.644671065786843,0.550889822035593,0.579598804950918,0.534963534963535,1
"GO:0099563",0.440311937612477,0.133573285342931,0.348130373925215,0.447110577884423,0.368526294741052,0.363636363636364,0.542824074074074,1
"GO:0099572",0.695460907818436,0.420915816836633,0.402719456108778,0.470705858828234,0.195360927814437,0.89259645464025,0.89261744966443,1
"GO:0099634",0.629274145170966,0.306938612277544,0.347130573885223,0.353329334133173,0.00999800039992002,0.476118841669801,0.536121673003802,1
"GO:0099645",0.0535892821435713,0.101179764047191,0.404319136172765,0.459108178364327,0.471105778844231,0.130256791961295,0.0594208349003385,1
"GO:1904315",0.347130573885223,0.2749450109978,0.0773845230953809,0.116376724655069,0.143171365726855,0.458549222797927,0.421131509928812,1
"GO:1905606",0.525294941011798,0.608478304339132,0.217956408718256,0.233553289342132,0.501099780043991,0.601851851851852,0.433501683501683,1
"GO:2000300",0.861627674465107,0.581883623275345,0.49370125974805,0.653869226154769,0.302939412117576,0.835222978080121,0.903250478011472,1
