"geneSet","pvals.PLSR","sim_brain"
"GO:0099509",0.765246950609878,2
"GO:0099523",0.82003599280144,2
"GO:0099531",0.594481103779244,2
"GO:0099536",0.127374525094981,2
"GO:0099537",0.166766646670666,2
"GO:0099560",0.787442511497701,2
"GO:0099563",0.444511097780444,2
"GO:0099572",0.619276144771046,2
"GO:0099634",0.645270945810838,2
"GO:0099645",0.899220155968806,2
"GO:1904315",0.136772645470906,2
"GO:1905606",0.830833833233353,2
"GO:2000300",0.515696860627874,2
"SYNGO:metabolism",0.992001599680064,2
"SYNGO:postsynprocess",0.887822435512897,2
"SYNGO:presynprocess",0.999800039992002,2
"SYNGO:transport",0.561087782443511,2
"GO:0007268",0.178164367126575,3
"GO:0007416",0.976404719056189,3
"GO:0008021",0.0343931213757249,3
"GO:0014069",0.353929214157169,3
"GO:0016079",0.741451709658068,3
"GO:0030285",0.496500699860028,3
"GO:0030672",0.46870625874825,3
"GO:0042734",0.949810037992401,3
"GO:0045211",0.98120375924815,3
"GO:0048488",0.688262347530494,3
"GO:0048786",0.202759448110378,3
"GO:0048787",0.214357128574285,3
"GO:0050804",0.992201559688062,3
"GO:0050808",0.977804439112178,3
"GO:0051963",0.775844831033793,3
"GO:0060078",0.966606678664267,3
"GO:0098839",0.79624075184963,3
"GO:0098918",0.201759648070386,3
"GO:0099010",0.846630673865227,3
"GO:0099055",0.726054789042192,3
"GO:0099056",0.747050589882024,3
"GO:0099059",0.778044391121776,3
"GO:0099060",0.882023595280944,3
"GO:0099061",0.695660867826435,3
"GO:0099072",0.20375924815037,3
"GO:0099092",0.831833633273345,3
"GO:0099171",0.948810237952409,3
"GO:0099173",0.482103579284143,3
"GO:0099175",0.995800839832034,3
"GO:0099188",0.993001399720056,3
"GO:0099504",0.96000799840032,3
"GO:0099505",0.853629274145171,3
"GO:0099509",0.987002599480104,3
"GO:0099523",0.654069186162767,3
"GO:0099531",0.975404919016197,3
"GO:0099536",0.908618276344731,3
"GO:0099537",0.779844031193761,3
"GO:0099560",0.936412717456509,3
"GO:0099563",0.872425514897021,3
"GO:0099572",0.315336932613477,3
"GO:0099634",0.421915616876625,3
"GO:0099645",0.418316336732653,3
"GO:1904315",0.997000599880024,3
"GO:1905606",0.914617076584683,3
"GO:2000300",0.903419316136773,3
"SYNGO:metabolism",0.0749850029994001,3
"SYNGO:postsynprocess",0.997200559888022,3
"SYNGO:presynprocess",0.0627874425114977,3
"SYNGO:transport",0.98380323935213,3
"GO:0007268",0.813237352529494,4
"GO:0007416",0.874225154969006,4
"GO:0008021",0.871025794841032,4
"GO:0014069",0.363527294541092,4
"GO:0016079",0.942811437712457,4
"GO:0030285",0.131773645270946,4
"GO:0030672",0.234353129374125,4
"GO:0042734",0.953609278144371,4
"GO:0045211",0.455708858228354,4
"GO:0048488",0.548290341931614,4
"GO:0048786",0.910817836432713,4
"GO:0048787",0.96620675864827,4
"GO:0050804",0.497900419916017,4
"GO:0050808",0.74005198960208,4
"GO:0051963",0.690661867626475,4
"GO:0060078",0.870825834833033,4
"GO:0098839",0.095380923815237,4
"GO:0098918",0.895220955808838,4
"GO:0099010",0.985602879424115,4
"GO:0099055",0.369126174765047,4
"GO:0099056",0.603279344131174,4
"GO:0099059",0.978004399120176,4
"GO:0099060",0.50749850029994,4
"GO:0099061",0.316936612677464,4
"GO:0099072",0.924215156968606,4
"GO:0099092",0.463107378524295,4
